MD_EARN_WNE_P10,STUFACR,STUFACR,C150_4,ADM_RATE,MD_EARN_WNE_P10
38493.0,21.0,21.0,,,38493.0
43299.0,12.0,12.0,0.4667,0.9448,43299.0
65464.0,11.0,11.0,0.6322,0.7351,65464.0
47867.0,9.0,9.0,0.631,0.8837,47867.0
36657.0,17.0,17.0,,,36657.0
16220.0,22.0,22.0,,,16220.0
37282.0,26.0,26.0,,,37282.0
35994.0,13.0,13.0,,,35994.0
,11.0,11.0,0.4211,1.0,
,,,,,
53695.0,16.0,16.0,0.8125,,53695.0
39607.0,9.0,9.0,0.0,,39607.0
61824.0,10.0,10.0,0.5385,0.9185,61824.0
89816.0,3.0,3.0,,,89816.0
38870.0,26.0,26.0,,,38870.0
70649.0,14.0,14.0,1.0,,70649.0
41133.0,26.0,26.0,,,41133.0
44521.0,27.0,27.0,,,44521.0
32172.0,19.0,19.0,,,32172.0
35233.0,22.0,22.0,,,35233.0
42678.0,25.0,25.0,,,42678.0
57106.0,13.0,13.0,0.7326,0.7818,57106.0
36190.0,27.0,27.0,,,36190.0
115318.0,3.0,3.0,,,115318.0
39834.0,28.0,28.0,,,39834.0
42454.0,22.0,22.0,,,42454.0
78349.0,11.0,11.0,0.8152,0.4131,78349.0
23148.0,20.0,20.0,,,23148.0
25913.0,10.0,10.0,,,25913.0
25913.0,14.0,14.0,,,25913.0
20358.0,10.0,10.0,,,20358.0
45328.0,20.0,20.0,,0.9407,45328.0
42654.0,16.0,16.0,,,42654.0
40243.0,14.0,14.0,,,40243.0
76419.0,15.0,15.0,0.5695,0.6172,76419.0
37815.0,25.0,25.0,,,37815.0
44392.0,26.0,26.0,,,44392.0
43845.0,19.0,19.0,0.4262,,43845.0
50936.0,15.0,15.0,,,50936.0
22477.0,15.0,15.0,,,22477.0
42368.0,18.0,18.0,0.2473,,42368.0
15204.0,18.0,18.0,,,15204.0
76310.0,1.0,1.0,,,76310.0
42176.0,18.0,18.0,,,42176.0
49044.0,27.0,27.0,,,49044.0
46283.0,22.0,22.0,,,46283.0
72379.0,11.0,11.0,0.5959,0.7576,72379.0
38319.0,30.0,30.0,,,38319.0
32778.0,6.0,6.0,0.4773,0.7845,32778.0
49517.0,17.0,17.0,,,49517.0
27978.0,15.0,15.0,,,27978.0
67548.0,16.0,16.0,0.2222,,67548.0
,,,,,
68891.0,6.0,6.0,0.4167,0.4495,68891.0
27269.0,24.0,24.0,,,27269.0
39876.0,42.0,42.0,,,39876.0
37542.0,22.0,22.0,,,37542.0
32488.0,26.0,26.0,,,32488.0
,3.0,3.0,,0.6943,
74576.0,,,0.4744,,74576.0
75951.0,9.0,9.0,0.8267,0.394,75951.0
54278.0,25.0,25.0,,,54278.0
47348.0,27.0,27.0,,,47348.0
58152.0,9.0,9.0,0.6158,0.8329,58152.0
41393.0,27.0,27.0,,,41393.0
49697.0,13.0,13.0,0.5,0.3222,49697.0
39169.0,22.0,22.0,,0.9582,39169.0
83187.0,12.0,12.0,,,83187.0
52485.0,4.0,4.0,,0.3968,52485.0
,,,,,
,7.0,7.0,0.1429,0.3333,
70484.0,13.0,13.0,0.4661,0.4846,70484.0
78445.0,14.0,14.0,0.7372,0.9323,78445.0
36389.0,24.0,24.0,,,36389.0
42300.0,21.0,21.0,,,42300.0
43937.0,22.0,22.0,,,43937.0
82939.0,13.0,13.0,0.8398,0.4871,82939.0
69512.0,10.0,10.0,0.8545,0.184,69512.0
49782.0,12.0,12.0,0.8667,,49782.0
63998.0,13.0,13.0,0.7593,0.8193,63998.0
77779.0,7.0,7.0,0.9463,0.0702,77779.0
36328.0,24.0,24.0,,,36328.0
16886.0,20.0,20.0,,,16886.0
43552.0,31.0,31.0,0.2674,,43552.0
,,,,,
,29.0,29.0,,,
72690.0,10.0,10.0,0.669,0.8187,72690.0
36243.0,15.0,15.0,,,36243.0
26956.0,15.0,15.0,,,26956.0
22412.0,15.0,15.0,,,22412.0
44950.0,29.0,29.0,0.2471,,44950.0
41091.0,24.0,24.0,,,41091.0
,13.0,13.0,,,
42214.0,25.0,25.0,,,42214.0
50874.0,24.0,24.0,,,50874.0
143238.0,6.0,6.0,,,143238.0
38503.0,20.0,20.0,,,38503.0
45120.0,24.0,24.0,0.3378,,45120.0
48224.0,27.0,27.0,,,48224.0
